,Originality,Rule.Conciousness,Openness.to.Change,Assertiveness,Social.Confidence,Empathy,Communicativeness,Independence,Rationality,Competitiveness,Concientiousness,Perfectionism,Decisiveness,Apprehension,Creativity,Agreeableness,Acheivement,Extroversion,Resilience,Status
161,5,2,4,5,8,8,2,10,8,4,8,5,5,3,4,6,6,1,6,Graduated
162,5,7,5,5,4,3,6,8,4,5,7,2,4,6,6,2,4,5,5,Graduated
163,7,8,4,3,4,3,8,7,5,5,9,4,4,7,1,1,1,4,7,Graduated
164,4,6,NA,2,1,5,4,7,1,5,5,4,1,8,3,1,3,4,1,Graduated
165,3,4,5,5,2,6,3,5,4,8,7,7,3,10,4,4,7,4,1,Graduated
166,4,5,NA,5,5,5,NA,8,2,6,7,2,1,5,3,3,4,2,3,Graduated
167,6,4,4,4,4,3,3,9,5,5,8,4,5,9,5,2,6,2,3,Graduated
168,5,5,6,6,8,4,4,4,6,6,7,6,3,8,5,6,5,5,3,Graduated
169,6,5,4,5,4,5,2,7,8,8,9,7,5,9,5,4,8,1,3,Graduated
170,5,4,5,5,7,8,6,6,5,7,7,5,5,6,4,7,6,6,4,Graduated
171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,7,5,3,Graduated
172,6,6,8,4,6,6,9,4,5,7,7,5,5,6,6,6,6,9,5,Graduated
173,5,4,7,5,5,8,7,6,8,7,7,7,4,8,5,7,7,5,2,Graduated
174,4,3,8,4,2,9,2,10,9,7,7,8,3,3,5,5,8,1,5,Graduated
175,4,6,7,3,4,4,7,3,4,4,8,4,1,7,4,4,3,8,2,Graduated
176,5,7,5,4,6,6,5,2,5,7,8,4,1,5,4,7,4,7,3,Graduated
177,7,6,8,7,6,4,4,9,8,6,7,7,7,5,8,4,8,2,7,Graduated
178,6,5,5,3,5,6,7,5,5,5,7,6,5,7,4,5,5,7,4,Graduated
179,5,6,4,5,5,3,5,5,4,4,6,5,4,5,5,4,4,6,6,Graduated
180,5,4,7,3,5,8,4,5,6,6,8,6,4,6,4,7,6,4,4,Graduated
181,7,3,6,6,8,6,6,8,5,6,9,9,9,7,6,5,9,6,6,Graduated
182,5,5,4,3,4,6,10,6,4,6,7,5,3,6,4,4,5,9,4,Graduated
183,3,3,3,5,1,4,5,6,4,7,8,5,4,5,3,2,6,4,5,Graduated
184,5,6,6,3,3,3,4,6,4,5,6,NA,5,6,5,2,3,4,6,Graduated
